Accent Label,Speaker Label,Gender (M/F),Word,Vowel Phoneme,Class Number,Formant 1 (Hz),Formant 2 (Hz),Formant 3 (Hz)
brm_001,ajh001,M,had,AE,1,808.0372734,1466.26049,2531.229722
brm_001,ajh001,M,hood,UH,2,394.6533652,1079.159276,2990.346629
brm_001,ajh001,M,hid,IH,3,347.4279954,2370.195627,2964.605459
brm_001,ars001,M,had,AE,1,723.971229,1602.030134,2541.530978
brm_001,ars001,M,hood,UH,2,457.0373326,866.3647657,2366.222933
brm_001,ars001,M,hid,IH,3,436.5680429,1902.591752,2632.313765
brm_001,ikp001,M,had,AE,1,796.6690099,1589.599745,2668.503205
brm_001,ikp001,M,hood,UH,2,887.1561209,2427.34103,3812.209973
brm_001,ikp001,M,hid,IH,3,293.4628943,2332.984854,3073.964171
brm_001,jxs001,M,had,AE,1,897.2535524,1421.573699,2409.385194
brm_001,jxs001,M,hood,UH,2,565.3250402,1437.657325,2753.912619
brm_001,jxs001,M,hid,IH,3,418.171515,2061.939735,2685.865832
brm_001,mrs001,M,had,AE,1,753.8723642,1347.301551,2427.418764
brm_001,mrs001,M,hood,UH,2,883.0961574,2630.355996,3206.183082
brm_001,mrs001,M,hid,IH,3,388.1410549,2144.209671,2687.752605
brm_001,alw001,F,had,AE,1,948.4151288,1748.269515,2718.904818
brm_001,alw001,F,hood,UH,2,492.1622664,1204.005334,2975.933282
brm_001,alw001,F,hid,IH,3,465.9011567,2659.484515,3226.047188
brm_001,jah001,F,had,AE,1,968.5582917,1789.313504,2905.685398
brm_001,jah001,F,hood,UH,2,594.3450984,1458.653839,3039.241152
brm_001,jah001,F,hid,IH,3,512.6451218,2635.424698,3210.455715
brm_001,jep001,F,had,AE,1,1160.574311,1820.915831,2717.01692
brm_001,jep001,F,hood,UH,2,703.5148762,1569.804059,2937.697932
brm_001,jep001,F,hid,IH,3,535.7879814,2376.268427,2908.800355
brm_001,lst001,F,had,AE,1,936.7863311,1604.200288,2874.679787
brm_001,lst001,F,hood,UH,2,515.6160786,957.8607978,3029.402002
brm_001,lst001,F,hid,IH,3,557.4724341,2431.608447,3086.019416
brm_001,mjd001,F,had,AE,1,868.5858608,1563.048993,2247.400576
brm_001,mjd001,F,hood,UH,2,407.0417289,1017.18309,3018.569886
brm_001,mjd001,F,hid,IH,3,480.6254983,2245.322902,2865.097679
ean_001,asp001,M,had,AE,1,734.9888342,1818.536378,2531.660861
ean_001,asp001,M,hood,UH,2,404.2739011,1118.870747,2986.973657
ean_001,asp001,M,hid,IH,3,403.9954209,2224.824988,2709.690939
ean_001,baj001,M,had,AE,1,735.3573213,1805.94765,2469.463085
ean_001,baj001,M,hood,UH,2,464.0299486,1575.091366,2632.092178
ean_001,baj001,M,hid,IH,3,475.6677702,2322.642928,2984.22184
ean_001,ifp001,M,had,AE,1,752.118375,1647.590059,2407.410487
ean_001,ifp001,M,hood,UH,2,1056.644225,2287.937137,3368.502646
ean_001,ifp001,M,hid,IH,3,2118.592602,3073.165484,3927.492907
ean_001,mjc002,M,had,AE,1,814.0500422,1688.450253,2483.980173
ean_001,mjc002,M,hood,UH,2,518.8588581,1575.610446,2642.779987
ean_001,mjc002,M,hid,IH,3,362.5552148,2306.510609,2712.903376
ean_001,pem001,M,had,AE,1,752.375525,1887.015384,2658.491092
ean_001,pem001,M,hood,UH,2,385.5194059,1181.140203,2746.801511
ean_001,pem001,M,hid,IH,3,357.8913746,2440.808826,3204.811948
ean_001,cxb002,F,had,AE,1,1070.935714,1909.485282,2509.49981
ean_001,cxb002,F,hood,UH,2,548.8284303,1719.05439,2754.539502
ean_001,cxb002,F,hid,IH,3,528.0971813,2451.702557,3125.935187
ean_001,dab001,F,had,AE,1,921.267604,1797.037344,2573.488069
ean_001,dab001,F,hood,UH,2,437.6399334,1717.826811,2609.69962
ean_001,dab001,F,hid,IH,3,398.3218148,2406.467512,2896.333191
ean_001,hjl001,F,had,AE,1,1038.971131,1796.261315,2934.98961
ean_001,hjl001,F,hood,UH,2,600.8377145,2114.181166,3071.669047
ean_001,hjl001,F,hid,IH,3,590.7107001,2889.01525,3434.533295
ean_001,jkb001,F,had,AE,1,772.8408523,1733.824544,2987.034147
ean_001,jkb001,F,hood,UH,2,453.5059833,1271.582828,2866.018112
ean_001,jkb001,F,hid,IH,3,411.535376,2521.309989,2989.753409
ean_001,ljb001,F,had,AE,1,852.8501939,1760.618335,2771.102919
ean_001,ljb001,F,hood,UH,2,482.6855928,1615.881453,2737.399887
ean_001,ljb001,F,hid,IH,3,471.1919269,2307.843444,3016.957966
eyk_001,ajt001,M,had,AE,1,644.8192678,1655.493163,2632.243276
eyk_001,ajt001,M,hood,UH,2,419.3575293,1160.917592,2614.900371
eyk_001,ajt001,M,hid,IH,3,478.0093692,1856.879746,2570.814466
eyk_001,dps001,M,had,AE,1,862.2916284,1534.161433,2041.897731
eyk_001,dps001,M,hood,UH,2,798.4966033,1850.244029,3257.193565
eyk_001,dps001,M,hid,IH,3,784.4498632,2152.258477,2793.287993
eyk_001,jmd001,M,had,AE,1,823.1547259,1360.070779,2089.586823
eyk_001,jmd001,M,hood,UH,2,657.587297,1832.452174,2804.981789
eyk_001,jmd001,M,hid,IH,3,428.306034,2132.587918,2610.82807
eyk_001,jxp001,M,had,AE,1,710.3611003,1419.751084,2720.093781
eyk_001,jxp001,M,hood,UH,2,344.9758095,1197.628919,2901.660898
eyk_001,jxp001,M,hid,IH,3,403.5292549,2074.482561,2772.924113
eyk_001,pxc001,M,had,AE,1,789.9482263,1285.931073,2429.0204
eyk_001,pxc001,M,hood,UH,2,297.9696589,1028.166258,2761.2715
eyk_001,pxc001,M,hid,IH,3,418.8320187,1907.280019,2654.150664
eyk_001,edc001,F,had,AE,1,991.6099774,1659.318536,2745.53905
eyk_001,edc001,F,hood,UH,2,557.948487,1220.946645,2650.088164
eyk_001,edc001,F,hid,IH,3,547.6089389,2574.302225,3038.34217
eyk_001,hxc001,F,had,AE,1,1009.399947,1740.608306,2762.625589
eyk_001,hxc001,F,hood,UH,2,573.4152913,1579.392227,2943.792272
eyk_001,hxc001,F,hid,IH,3,513.892095,2122.869862,3053.631232
eyk_001,jat001,F,had,AE,1,909.5916097,1790.118258,2721.427428
eyk_001,jat001,F,hood,UH,2,404.3955704,934.7815263,3051.025847
eyk_001,jat001,F,hid,IH,3,540.4125768,2445.169283,3134.562952
eyk_001,svj001,F,had,AE,1,1029.363149,1698.468627,2823.911931
eyk_001,svj001,F,hood,UH,2,577.394371,1308.138567,2703.628395
eyk_001,svj001,F,hid,IH,3,609.5987877,2405.672281,3117.403608
eyk_001,wxr003,F,had,AE,1,1007.043731,1898.891946,2856.575081
eyk_001,wxr003,F,hood,UH,2,398.4176613,1412.94595,2913.313936
eyk_001,wxr003,F,hid,IH,3,457.1990881,2462.037179,3078.410744
lan_001,asp002,M,had,AE,1,834.3506326,1511.565189,2277.871693
lan_001,asp002,M,hood,UH,2,763.0473234,2456.315144,3377.896818
lan_001,asp002,M,hid,IH,3,488.4240661,1938.02611,2595.783868
lan_001,axp001,M,had,AE,1,802.010393,1396.668925,2614.717876
lan_001,axp001,M,hood,UH,2,664.7017843,2583.656407,3341.181235
lan_001,axp001,M,hid,IH,3,429.490851,1978.314428,2796.270791
lan_001,jrh001,M,had,AE,1,846.0350083,1370.932782,2608.687789
lan_001,jrh001,M,hood,UH,2,505.6436056,921.2440773,2474.535577
lan_001,jrh001,M,hid,IH,3,445.9853569,2180.041941,2820.474367
lan_001,jxe001,M,had,AE,1,928.3029484,1566.145221,3156.682103
lan_001,jxe001,M,hood,UH,2,797.1475641,2233.766352,3419.125769
lan_001,jxe001,M,hid,IH,3,597.205314,2199.65365,2878.194954
lan_001,tfg001,M,had,AE,1,743.2217525,1388.969549,2771.974618
lan_001,tfg001,M,hood,UH,2,864.2727857,2684.966197,3580.87544
lan_001,tfg001,M,hid,IH,3,361.3786324,2064.356122,2838.38557
lan_001,acf001,F,had,AE,1,1042.365389,1363.034968,3070.246127
lan_001,acf001,F,hood,UH,2,502.6141617,1061.680716,3011.279075
lan_001,acf001,F,hid,IH,3,478.1470452,2473.458159,3091.259069
lan_001,gtb001,F,had,AE,1,782.9557089,1589.913864,2836.397303
lan_001,gtb001,F,hood,UH,2,491.2745622,954.2966874,2526.407526
lan_001,gtb001,F,hid,IH,3,516.8408882,2278.440908,2897.188994
lan_001,jxd001,F,had,AE,1,912.5247954,1543.723134,2566.135813
lan_001,jxd001,F,hood,UH,2,532.9144914,920.3135158,2861.19082
lan_001,jxd001,F,hid,IH,3,537.6119146,2495.91546,3032.15271
lan_001,mjh001,F,had,AE,1,927.4804197,1500.06582,2778.198479
lan_001,mjh001,F,hood,UH,2,511.3594526,945.6028166,2744.606236
lan_001,mjh001,F,hid,IH,3,546.8743095,2362.480251,3020.125369
lan_001,zlt001,F,had,AE,1,978.5740366,1487.382672,2501.542408
lan_001,zlt001,F,hood,UH,2,469.7634063,1179.327408,2869.361508
lan_001,zlt001,F,hid,IH,3,490.6593124,2226.997646,2887.444323
ncl_001,ggc001,M,had,AE,1,801.7526077,1322.083515,2528.456865
ncl_001,ggc001,M,hood,UH,2,553.259291,834.4414613,2655.704762
ncl_001,ggc001,M,hid,IH,3,414.375081,1892.606645,2540.404102
ncl_001,jxb001,M,had,AE,1,806.3776527,1264.602667,2762.449131
ncl_001,jxb001,M,hood,UH,2,880.0090661,2302.473489,3218.761397
ncl_001,jxb001,M,hid,IH,3,796.9140887,2135.529602,2840.205626
ncl_001,jxm001,M,had,AE,1,759.850974,1424.37847,2574.891541
ncl_001,jxm001,M,hood,UH,2,845.177164,2497.090485,3073.265625
ncl_001,jxm001,M,hid,IH,3,409.1754783,2100.958981,2771.127741
ncl_001,kxr001,M,had,AE,1,885.9464608,1245.677105,2582.378137
ncl_001,kxr001,M,hood,UH,2,574.3735622,1087.650313,2782.366681
ncl_001,kxr001,M,hid,IH,3,455.2055259,2192.94138,2700.32853
ncl_001,pxa001,M,had,AE,1,796.2960731,1205.475518,2426.119541
ncl_001,pxa001,M,hood,UH,2,659.8325336,1789.215627,2832.045073
ncl_001,pxa001,M,hid,IH,3,908.5736329,2220.338425,2994.969777
ncl_001,ext001,F,had,AE,1,1181.185295,2004.432709,3074.968245
ncl_001,ext001,F,hood,UH,2,436.9499833,945.1667483,2588.529611
ncl_001,ext001,F,hid,IH,3,508.354419,2350.340938,3014.080562
ncl_001,jxh002,F,had,AE,1,1004.602743,1463.44225,2440.78158
ncl_001,jxh002,F,hood,UH,2,456.1462344,808.5662624,2772.990283
ncl_001,jxh002,F,hid,IH,3,480.9779474,2351.819635,2748.924069
ncl_001,mlg001,F,had,AE,1,1119.091474,1631.194818,3071.363522
ncl_001,mlg001,F,hood,UH,2,376.8058858,1009.259215,2909.063646
ncl_001,mlg001,F,hid,IH,3,517.6774504,2491.000648,3036.226987
ncl_001,mlg002,F,had,AE,1,940.5272569,1559.502735,2994.370621
ncl_001,mlg002,F,hood,UH,2,458.4267009,1124.674723,3095.360866
ncl_001,mlg002,F,hid,IH,3,440.3295518,2628.774489,2934.55832
ncl_001,sxp001,F,had,AE,1,925.5457284,1454.385998,2639.254395
ncl_001,sxp001,F,hood,UH,2,587.2021577,2383.938252,3268.008263
ncl_001,sxp001,F,hid,IH,3,481.8373242,2301.541175,2782.865281
